安全な薬	
PNP	"J01MA06 ·ノルフロキサシン 全身用抗菌薬
ノリシン・ノルフロキサシン"
PNP	"J01MA12・レボフロキサシン 全身用抗菌薬
レバロックス、レボシン、レボフロキサシン、レボフロキサシン、レボニック、レボクサ、オロフロキサシン、クインセア、タバニック、キシベラム"
PNP	"J01MA14 ·モキシフロ キサシン 全身用抗菌薬
アベロックス、フロキシトラート、キモクス、モキシフロキサシン、モロキシン、モキシフロキサシン、モキシフロキサシン、モキシネア、モキシバ、リボモキシ"
NP	"J01XA01 ·バンコマイシン 全身投与用抗菌薬
バクトシン・エジシン・バンコマイシン・バンコマイシナム・バンコサン・バンコマイシン"
NP	"J01XA02 ·テイコプラニン 全身投与用抗菌薬
タルゴシド・テイコピックス・テイコプラニン・テイコプラニン・テイコプラニナ"
PNP	"J01XB01 ·コリスチン 全身用抗菌薬
コリスチムテート·コリスタイムザットナトリウム·コリスタイムザットナトリクム·コリスチン·コリビア·コロブレス·コリスティメタットナトリウム·コリスチメタナトリウム·コリスチン·プロミキシン·タディム"
NP	"J01XC01 ·フシジン酸 全身用抗菌剤
フシジン·フシジン·フシジンシレ·フシジンナトリウム"
PNP	"J01XD01 ·メトロニダゾール 全身用抗菌薬
メトロニダゾール・メトロニダゾール"
PNP	"J01XD02 ·チニダゾール系 抗菌薬（全身投与用）
チニダゾール・チニダゾール"
PNP	"J01XX01 ·ホスホマイシン 全身投与用抗菌薬
アファストゥラル・ホスホマイシン・ホスホマイシナ・インフェクトホス・モヌラル・モヌリル・モヌロール・シミュラル"
NP	"J01XX05 ·メテナミン系 抗菌剤（全身投与用）
アルタロミン・ハイプレックス・ヒプレックス・メテナミン・メテナミンヒップレート"
PNP	"J01XX08 ·リネゾリド 全身投与用抗菌薬
ジリゾレン・リネゾリド・ジボキシド"
PNP	"J01XX09 ·ダプトマイシン 全身投与用抗菌薬
キュビシン・ダプトマイシン・ゼルテンプラ"
PNP	"J02AA01 ·アムホテリシンB 全身投与用抗真菌薬
アベルセット・アンビソーム・アムホテリシンb・アムホテリシンb・アムホテリシンbリポソーム・ファンギゾン"
PNP	"J02AX01 ·フルシトシン 全身投与用抗真菌薬
アンコチル・フルシトシン・フルシトシン"
PNP	"J02AX04 ·カスポファンギン 全身投与用抗真菌薬
カンシダス、カスミグ、カスポファンギン、ダルボカンス、フォルネガ、カスポファンギン"
PNP	"J02AX05・ミカファンギン 全身投与用抗真菌薬
ミカファンギン·ミカファンギン·マイカミン·ミカファンギナ"
PNP	"J02AX06 ·アニデュラ ファンギン 全身投与用抗真菌薬
アニデュラファンギン·アニデュラファンギナ·エカルタ"
PNP	"J04AA01 · 4-アミノサリチル酸系 抗マイコバクテリア剤
アミノサリシルシロップ・顆粒"
PNP	"J04AB01 ·シクロセリン系 抗マイコバクテリア剤
シクロセリン・シクロセリン"
PNP	"J04AK01 ·ピラジナミド系 抗マイコバクテリア薬
ピラジナミド・ピラジナミド・チサミド"
NP	"J04AK02・エタンブトール 抗 マイコバクテリア剤
emb ·エタンブトール·エタンブトール·エチビ·ミアンブトール"
PNP	"J04AK05 ·ベダキリン 抗真菌薬
Bedakvilin · Sirturo"
PNP	"J04AK06 ·デラマニド抗 マイコバクテリア剤
デラマニド・デルティバ"
NP	"J05AB01 ·アシクロビル 全身投与用抗ウイルス薬
アシクロダン·アシクロビル·アシクロビル·アシックス·アクロビル·アシクロスタド·アシクロビル·アシクロビル·アシラックス·ハスコビル·ヘビポイント·ヘビラン·インウイルス·ビロノ·ゾビラックス"
NP	"J05AB06 ·ガンシクロビル 全身投与用抗ウイルス薬
シメベン・ガンシクロビル・ガンシクロビル"
PNP	"J05AB09 ·ファムシクロビル 全身投与用抗ウイルス薬
ファムシクロビル·ファムシクロビル·ファムビル"
NP	"J05AB11 ·バラシクロビル 全身投与用抗ウイルス薬
フラシュニル·ヴァシクロル·ヴァラブリス·ヴァラブリス フォルテ·バラシクロビル·バラシクロビル·バラビル·ヴァロリン·バルトレックス·ゼリトレックス"
PNP	"J05AB12 ·シドフォビル 全身投与用抗ウイルス薬
シドフォビル"
NP	"J05AB14 ·バルガンシクロビル 全身投与用抗ウイルス薬
セグラー·バルシロックス·バルサイト·バルガンシクロビル·バルガンシクロビル·ヴァルヒット"
PNP	"J05AD01 ·フォスカルネット 全身投与用抗ウイルス薬
フォスカルネット·フォスカルネットナトリウム六水和物·フォスカルネット·フォスカルネットナトリウム六水和物·ビラフォス"
PNP	"J05AF01 ·ジドブジン 全身投与用抗ウイルス薬
レトロビル・ジドブジン・ジドブジン"
PNP	"J05AF02 ·ジダノシン 全身投与用抗ウイルス薬
ジダノシン"
PNP	"J05AF03 ·ザルシタビン 全身投与用抗ウイルス薬
ザルシタビン"
PNP	"J05AF05・ラミブジン （全身投与用抗ウイルス薬）
エピビル・ラミブジン・ラミブジン・ゼフィックス"
PNP	"J05AF06 ·アバカビル 全身投与用抗ウイルス薬
アバカビル・アバカビル・ジアゲン"
PNP	"J05AF07 ·テノホビルジソプロキシル 全身用抗ウイルス薬
イクタディ・テノホビル・テノホビルジソプロクシル・ビリアド・ビロフォブ"
PNP	"J05AF08 ·アデホビルジピボキシル 全身投与用抗ウイルス薬
アデホビルジピボクシル・ヘプセラ"
PNP	"J05AF09 ·エムトリシタビン 全身投与用抗ウイルス薬
エムトリシタビン・エムトリバ"
PNP	"J05AF11 ·テルビブジン 全身投与用抗ウイルス薬
セビボ・テルビブジン"
PNP	"J05AG05 ·リルピビリン 全身投与用抗ウイルス薬
エデュラント・レカンビス・リルピビリン"
NP	"J05AH01 ·ザナミビル 全身投与用抗ウイルス薬
デクトバ・リレンザ・ザナミビル"
NP	"J05AH02 ·オセルタミビル 全身投与用抗ウイルス薬
エビルフミン·グリプタビル·オセルタミビル·オセルティクス·セゴサナ·タミフル·タミビル·ビセルタム"
PNP	"J05AJ01 · 全身使用のためのラルテグラビル抗ウイルス薬
アイセントレス·ラルテグラヴィル·タルテヴィル"
PNP	"J05AJ03 ·ドルテグラビル全身投与 用抗ウイルス薬
ドルテグラビル・チビケイ"
PNP	"J05AP01 ·リバビリン 全身投与用抗ウイルス薬
リベトール・リバビリン"
PNP	"J05AP08 ·ソホスブビル 全身投与用抗ウイルス薬
ソホスブビル・ソバルディ"
PNP	"J05AP54 ·エルバスビルおよびグラゾプレビル 全身投与用抗ウイルス薬
エルバスビル og グラゾプレビル·ゼパティエ"
PNP	"J05AR01 ·ジドブジンおよびラミブジン 全身投与用抗ウイルス薬
コンビビル・ラジビル・ジドブジン／ラミブジン"
PNP	"J05AR02 ·ラミブジンおよびアバカビル 全身投与用抗ウイルス薬
キベキサ・ラミブジン / アバカビル・ラミブジン / アバカビル"
PNP	"J05AR03 ·テノホビルジソプロキシルおよびエムトリシタビン 抗ウイルス薬（全身投与用）
デュノトリシン・オレムテン・テノホビル・エムトリシタビン・ツルバダ"
PNP	"J05AR04 ·ジドブジン、ラミブジン、アバカビル 全身投与用抗ウイルス薬
トリジビル・ジドブジン、ラミブジン、アバカビル"
PNP	"J05AR08 ·エムトリシタビン、テノホビルジソプロキシルおよびリルピビリン 抗ウイルス薬（全身投与用）
エムトリシタビン / テノホビル / リルピビリン・エビプレラ"
PNP	"J05AR13 ·ラミブジン、アバカビル、ドルテグラビル 全身投与用抗ウイルス薬
ラミブジン、アバカビル、ドルテグラビル・トリウメク"
PNP	"J05AX07 ·エンフビルチド 全身投与用抗ウイルス薬
エンフヴィルティッド・フゼオン"
PNP	"J05AX09 ·マラビロク 全身投与用抗ウイルス薬
セルセントリ・マラビロク"
NP	"J06BA01 ·血管外投与用正常ヒト免疫グロブリン。 免疫血清および免疫グロブリン
ベリグロビン·クタクイグ·クビトル·ガンマノーム·ハイゼントラ·ハイクビア·ゼンビファイ"
NP	"J06BA02 ·正常ヒト免疫グロブリン（血管内投与用） 免疫血清および免疫グロブリン
デクシガ・フレボガンマ・ガンマガード・ガムネックス・イグベナ・イントラテクト・イクイムネ・キオビグ・ナノガム・オクタガム・オプティグロビン・パンジガ・ペンタグロビン・プリビゲン"
NP	"J06BB01 ·抗d（rh）免疫グロブリン 免疫血清および免疫グロブリン
Gamma Anty-d ·免疫グロブリン mot rh-Immunisering · Rhesonativ · Rhophylac"
NP	"J06BB04 · B型肝炎免疫グロブリン 免疫血清および免疫グロブリン
ガンマ Anty-hbs ·ヘパテクト·免疫グロブリン mot ヘパティット b ·ノバビッグ·ウーマン ビッグ·ウマンビッグ·ベンビッグ·ズテクトラ"
NP	"J06BD01 ·パリビズマブ 免疫血清と免疫グロブリン
パリビズマブ・シナジス"
PNP	"J07AE01 ·コレラ不活化全細胞 ワクチン
デュコラル・コレラ、イナクティバート、ヘルセル"
PNP	"J07AE02 ·コレラ生弱毒化 ワクチン
コレラ、レヴェンデ、スヴェケット・ヴァクチョーラ"
PNP	"J07AG01 ·インフルエンザ菌b型、精製抗原結合 ワクチン
アクティブ"
PNP	"J07AH07 ·髄膜炎菌c型、精製多糖体抗原結合 ワクチン
ネイスバック-c"
PNP	"J07AH08 ·髄膜炎菌 a,c,y,w-135 四価精製多糖体抗原結合 ワクチン
メンクアフィ·メンヴェオ·ニメンリックス"
PNP	"J07AH09 ·髄膜炎菌b型多成分ワクチン ワクチン
ベクセロ・メニンゴコック b、マルチコンポーネント・ヴァクシン・トルメンバ"
PNP	"J07AJ52 ·百日咳、精製抗原、トキソイドとの併用 ワクチン
Adacel · Boostrix · Ditekibooster · Tdap · Tdapbooster · Triaxis"
PNP	"J07AL01 ·肺炎球菌精製多糖類抗原 ワクチン
ニューモコック、レンセットポリサッカリド抗原・ニューモバックス"
PNP	"J07AL02 ·肺炎球菌精製多糖体抗原結合 ワクチン
カプバクシブ・プレベナー・バクスニューバンス"
PNP	"J07AL52 ·肺炎球菌精製多糖体抗原およびインフルエンザ菌結合 ワクチン
シンフロリックス"
PNP	"J07AM01 ·破傷風トキソイド ワクチン
テタナ・テタヌストキソイド・テタヌスワクチン・テタバックス"
PNP	"J07AM51 ·破傷風トキソイドとジフテリアトキソイドの混合 ワクチン
クロディバック·ディテブースター· dt-シュチェピオンカ ブロニツォ-テスコワ·破傷風菌、コンビナショナー医学ディフテリトクソイド"
PNP	"J07AN01 ·結核生弱毒化 ワクチン
bcg · bcg-Vaksine ·ツベルクロース、Levende、Svekket"
PNP	"J07AP01 ·腸チフス経口生弱毒化 ワクチン
腸チフォイド、オーラル、レヴェンデ、スヴェケット・ヴィヴォティフ"
PNP	"J07AP03 ·腸チフス、精製多糖体抗原 ワクチン
チフォイド、レンセットポリサッカリド抗原・チフィムvi"
PNP	"J07BA01 ·ダニ媒介性脳炎、不活化全ウイルス ワクチン
Encefalitt、Skogflåttbåren、Inaktivert Helvirus · Encepur · Encepur k · Encepur Lapset · Fsme-Immun · Ticovac"
PNP	"J07BA02 ·日本脳炎、不活化、全ウイルス ワクチン
イキシアロ・日本脳炎ワクチン"
PNP	"J07BB02 ·インフルエンザ、不活化、スプリットウイルスまたは表面抗原 ワクチン
Adjupanrix · Aflunov · Celldemic · Efluelda · Fluad · Fluarix · Flucelvax · Focetria · Foclivia · Incellipan · Influvac · Influvactetra · Optaflu · Pandemrix · Prepandemic Influenza Vaccine · Supemtek · Vaxigrip · Vaxigriptetra · Zoonotic"
PNP	"J07BB03 ·インフルエンザ生 ワクチン
フルエンツ、インフルエンザ、レヴェンデ、スヴェケット、パンデミック"
PNP	"J07BC01 · B型肝炎、精製抗原 ワクチン
エンゲリックス b ·エンゲリックス-b ·ユーバックス b ·フェンドリックス·ヘバックスプロ·ヘパティット b、レンセット抗原·ヘプリサブ b ·プレヘブブリ"
PNP	"J07BC02 · A型肝炎、不活化、全ウイルス ワクチン
Avaxim · Havrix · Hepatitt a、Inaktivert、Helvirus · Vaqta"
PNP	"J07BC20 ·混合 ワクチン
アンビリックス・コンビナスヨナー・ツインリックス"
PNP	"J07BD52 ·麻疹、おたふく風邪および風疹との混合ワクチン、弱毒生 ワクチン
m-Rvaxpro · Priorix"
PNP	"J07BF03 ·ポリオ、三価、不活化、全ウイルス ワクチン
イモバックス ポリオ·ピコバックス·ポリオミエリット、三価、不活化ヘルウイルス·ポリオワクチン·ベロポール"
PNP	"J07BG01 ·狂犬病ワクチン、不活化、全ウイルス ワクチン
狂犬病ワクチン・ラビピュア・ベロラブ"
PNP	"J07BH01 ·ロタウイルス生弱毒化 ワクチン
ロタリックス・ロタウイルス、レヴェンデ、スヴェケット"
PNP	"J07BH02 ·ロタウイルス5価生 ワクチン（遺伝子組み換え）
Rotateq ·ロタウイルス、Femverdig、Levende、Assorterte"
PNP	"J07BK01 ·水痘生弱毒化 ワクチン
水痘、レヴェンデ、スヴェケット·ヴァリルリックス·バリバックス"
PNP	"J07BK02 ·帯状疱疹生 ワクチン
ゾスタバックス・ゾスター、レヴェンデ・スヴェケット"
PNP	"J07BK03 ·帯状疱疹、精製抗原 ワクチン
シングリクス・帯状疱疹、レンセット抗原"
PNP	"J07BM01 ·パピローマウイルス（ヒト型6、11、16、18） ワクチン
ガーダシル・パピローマウイルス（ヒト型6、11、16、18）・シルガード"
PNP	"J07BM02 ·パピローマウイルス（ヒト16型、18型） ワクチン
サーバリックス・パピローマウイルス（ヒト16型、18型）"
PNP	"J07BM03 ·パピローマウイルス（ヒト型6、11、16、18、31、33、45、52、58） ワクチン
ガーダシル"
PNP	"J07BN01 ·新型コロナウイルス感染症（COVID-19）、RNAベースワクチン ワクチン
コミュニティ· Covid-19、rna-Basert Vaksine · Kostaive · Mnexspike · Spikevax"
PNP	"J07BN04 ·新型コロナウイルス感染症（COVID-19）タンパク質サブユニット ワクチン
Bimervax · Covid-19、Proteinsubenhet · Nuvaxovid"
PNP	"J07BX01 ·天然痘およびサル痘ワクチン ワクチン
Imvanex · Jynneos · Koppe- og Apekoppevaksiner"
PNP	"J07BX04 ·デングウイルスワクチン ワクチン
デングウイルスヴァクシナー·デングヴァクシア·クデンガ"
PNP	"J07BX05 ·呼吸器合胞体ウイルスワクチン ワクチン
Abrysvo · Arexvy · Mresvia · Respiratoriske Syncytialvirusvaksiner"
PNP	"J07BX07 ·チクングニアワクチン ワクチン
イクシク"
PNP	"J07CA02 ·ジフテリア・百日咳・ポリオ・破傷風 ワクチン
アダセルポリオ·ブーストリクス·ディフテリ-キホステ-ポリオミエリット-破傷風 · インファンリックス·ペンタキシム·レペバックス·テトラバック·テトラキシム"
PNP	"J07CA06 ·ジフテリア・インフルエンザ菌b型・百日咳・ポリオ・破傷風 ワクチン
インファンリックス・ペンタバック"
PNP	"L01AA02 ·クロラムブシル 抗腫瘍剤
クロラムブシル・リューケラン"
PNP	"L01AA03 ·メルファラン 抗腫瘍剤
アルケラン・メルファラン・メルファラン・フェリヌン"
NP	"L01AA05 ·クロルメチン 抗腫瘍剤
クロルメチン・レダガ"
PNP	"L01AA09 ·ベンダムスチン 抗腫瘍剤
ベンダメダック·ベンダムスチン·ベンダムスチン·ベンダムスチン塩酸塩·ベンダムスチナ·クリベニック·クロリム·ジスキン·クライレック·レヴァクト"
PNP	"L01AD02 ·ロムスチン 抗腫瘍剤
セヌ・グレオスチン・ロムスチン・ロムスチン"
NP	"L01AX03 ·テモゾロミド 抗悪性腫瘍薬
テモダル・テモメダック・テモゾロミド・テモゾロミド"
PNP	"L01AX04 ·ダカルバジン 抗腫瘍剤
ダカルバジン・ダカルバジン・デティメダク"
PNP	"L01BA01 ·メトトレキサート 抗悪性腫瘍薬
エベトレックス、ジラムボ、メトトレキサート、メトトレキサートグリ、メトトレキサート、メトジェクト、メトトレキサート、メトトレサト"
PNP	"L01BA04 ·ペメトレキセド 抗腫瘍剤
アリムタ·アルミサルテ·チャンブラ·ペメトレクセド·ペメトレキセド"
PNP	"L01BB02 ·メルカプトプリン系 抗腫瘍剤
メルカプトプリン·メルカプトプリン·メルカプトプリナム·メルカプトプリン·プリネトール·プリイムン·ザルプリン"
PNP	"L01BB03 ·チオグアニン 抗腫瘍剤
ランビス・チオグアニン・チオグアニン"
PNP	"L01BB04 ·クラドリビン 抗腫瘍剤
ビオドリビン·クラドリビン·ロイジェクト·リタク"
PNP	"L01BB05 ·フルダラビン 抗腫瘍剤
フルダラ・フルダラビン・フルダラビン・フルダラビンリン酸"
NP	"L01BB06 ·クロファラビン 抗腫瘍剤
クロファラビン・エボルトラ・イボザール・クロファラビン"
NP	"L01BB07 ·ネララビン 抗腫瘍剤
アトリアンス・ネララビン"
PNP	"L01BC01 ·シタラビン 抗腫瘍剤
アレクサン・シタラビン・シタラビナ・シタラビン・シトサール"
NP	"L01BC02 ·フルオロウラシル 抗腫瘍剤
5-フルオロウラシル· Efudix ·フルオロウラシル· Flúoróúracil · Fluorouracile · Tolak · Tolerak"
NP	"L01BC03 ·テガフール 抗腫瘍剤
テガフル"
NP	"L01BC05 ·ゲムシタビン 抗腫瘍剤
ゲムシット·ゲムシタビン·ゲムシタビン·ゲムシタビヌム·ゲムカビ·ジェムソル·ゲムスタダ·ギトラビン"
NP	"L01BC06 ·カペシタビン 抗腫瘍剤
カペシタビン·カペシタビン·カペシタビナム·エカンシア·カペシタビン·ゼローダ"
PNP	"L01BC07 ·アザシチジン 抗腫瘍剤
アザシチジン·アザシチジン·アズクレム·アジダ·エトラガ·ゲロダザ·オヌレグ·レンダズヴィ·ヴィダーザ·ザシダ"
PNP	"L01CA01 ·ビンブラスチン 抗腫瘍剤
ベルベ・ビンブラスチン"
PNP	"L01CA02 ·ビンクリスチン 抗腫瘍剤
セルクリスチン・オンコビン・ビンクリスチン・ビンクリスチン"
PNP	"L01CA03 ·ビンデシン 抗腫瘍剤
エルディシン・ヴィンデシン"
PNP	"L01CA04 ·ビノレルビン 抗腫瘍剤
ナベルバイン・ナビレル・ネオシテック・ビノレルビン・ビノレルビナ・ビノレルビン"
PNP	"L01CA05 ·ビンフルニン 抗腫瘍剤
ジャヴラー・ビンフルニン"
PNP	"L01CB01・エトポシド 抗腫瘍剤
eto-Cell · eto - gry ·エトポフォス·エトポシド ·エトポシド·エトポシド·エトポシド·エトポジド·ヴェペシド"
PNP	"L01CD02 ·ドセタキセル 抗悪性腫瘍薬
ドセタキセル・ドセタキセル・タキソテール・トルネクサ"
PNP	"L01CE01 ·トポテカン 抗腫瘍剤
ハイカムチン・ポタクタソル・トポテカン・トポテカナム・トポテカン"
PNP	"L01CE02・イリノテカン 抗腫瘍剤
カンプト·イリノテカン·イリノテカン·オニバイデ"
PNP	"L01CX01 ·トラベクテジン 抗腫瘍剤
トラベクテディン·トラベクテディン·ヨンデリス"
NP	"L01DA01 ·ダクチノマイシン 抗腫瘍剤
ダクチノマイシン・リヨバック・コスメゲン"
PNP	"L01DB01 ·ドキソルビシン 抗腫瘍剤
アドリアマイシン・アドリアブラスチナ・カエリックス・セルドキソーム・ドクソルビシン・ドキソルビシン・ドキソルビシナム・ミオセット・ゾルスケチル"
PNP	"L01DB02 ·ダウノルビシン 抗腫瘍剤
セルビジン・セルビジン・ダウノルビシン"
PNP	"L01DB03エピルビシン抗 腫瘍剤
エピメダック・エピルビシン・ファルモルビシン"
PNP	"L01DB06・イダルビシン 抗腫瘍剤
イダルビシン・イダルビシン塩酸塩・ザベドス"
PNP	"L01DB07・ミトキサントロン 抗腫瘍剤
ミトキサントロン"
NP	"L01DC01 ·ブレオマイシン 抗腫瘍剤
ブレオメダック・ブレオマイシン・ブレオマイシナ"
PNP	"L01DC03 ·マイトマイシン 抗腫瘍剤
マイトマイシン"
PNP	"L01EA01・イマチニブ 抗悪性腫瘍薬
ビマティックス・グリベック・イマクレビン・イマチニブ・ロイゼック・メアキシン・ニビックス"
PNP	"L01EG02・エベロリムス 抗腫瘍剤
アフィニトール・エベロリムス・ヴォトゥビア"
PNP	"L01EJ01 ·ルキソリチニブ 抗腫瘍剤
ジャカビ・ジャクリヤ・ルクソリチニブ・ルキソリチニブ"
PNP	"L01EX01 ·スニチニブ 抗悪性腫瘍薬
アシクレバ、クレルティス、スビニット、スガネット、スニチニブ、スニチニブ、スーテント、トゥルラタ、ゼスバ"
PNP	"L01EX02 ·ソラフェニブ 抗腫瘍剤
ネクサバール・ソラフェニブ"
PNP	"L01EX03 ·パゾパニブ 抗腫瘍剤
パゾパニブ・ボトリエント"
NP	"L01FA01 ·リツキシマブ 抗悪性腫瘍薬
ブリジマ·イトゥクレディ·マブセラ·リツキシマブ·リクサソン·リキシミョ·ルキシエンス·トルキシマ"
NP	"L01FA02 ·オファツムマブ 抗悪性腫瘍薬
オファツムマブ"
NP	"L01FD01 ·トラスツズマブ 抗悪性腫瘍薬
ダズブリス、ハーセプチン、ヘルウェンダ、ヘルズマ、カンジンティ、オギヴリ、オントルザント、トラスツズマブ、トラジメラ、トゥズヌエ、ゼルセパック"
NP	"L01FE01 ·セツキシマブ 抗腫瘍剤
セツキシマブ・アービタックス"
NP	"L01FE02 ·パニツムマブ 抗腫瘍剤
パニツムマブ・ベクティビックス"
NP	"L01FG01 ·ベバシズマブ 抗腫瘍剤
Abevmy · Alymsys · Avastin · Avzivi · Aybintio · Bevacizumab · Mvasi · Onbevzi · Oyavas · Vegzelma · Zirabev"
NP	"L01FX03 ·カツマキソマブ 抗腫瘍剤
カツマクソマブ・コルジュニー"
NP	"L01XA01 ·シスプラチン 抗悪性腫瘍薬
シスプラチン・シスプラチナム"
NP	"L01XA02 ·カルボプラチン 抗悪性腫瘍薬
カルボメダック・カルボプラチン・カルボプラチン"
PNP	"L01XA03オキサリプラチン 抗悪性腫瘍薬
オクサリプラチン・オキサリプラチン・オキサリプラチン"
NP	"L01XD03 ·メチルアミノレブリン酸 抗腫瘍剤
メトビックス・メチルアミノレブリン酸"
NP	"L01XX02 ·アスパラギナーゼ 抗腫瘍剤
アスパラギナーゼ・エンリラーゼ・エルウィナーゼ・スペクトリラ"
PNP	"L01XX05 ·ヒドロキシカルバミド 抗腫瘍剤
ハイドレア・ヒドロキシカルバミド・ヒドロキシカルバミド・ヒドロキシウレア・オリバミド・シクロス・クロスミ"
PNP	"L01XX11・エストラムスチン 抗腫瘍剤
エストラムスチン"
PNP	"L01XX33・セレコキシブ 抗悪性腫瘍薬
セレコキシブ"
NP	"L01XX35 ·アナグレリド 抗悪性腫瘍薬
アナグレリド·アナグレリド·グレナルボン·トロンボレダクチン·ザグリッド"
PNP	"L01XX41 ·エリブリン 抗腫瘍剤
エリブリン·ハラヴェン·メヴリク·スクラリント"
PNP	"L02AA02 ·ポリエストラジオールリン酸塩 内分泌療法
ポリストラジオールリン酸"
PNP	"L02BA03 ·フルベストラント 内分泌療法
ファスロデックス・フルベストラント・フルウェストラント・ヴァスタロマ"
PNP	"L02BG03 ·アナストロゾール 内分泌療法
アナステルブ・アナストロゾール・アナストロゾール・アナゾール・アポナストロール・アリミデックス・アトロゾール・エギストロゾール"
PNP	"L02BG04 ·レトロゾール 内分泌療法
アロメク·クラルゾール·エトルジル·フェマール·ラメッタ·レトロラン·レトロマール·レトロゾール·レトロゾール·レトロゾルム·ロルタンダ"
PNP	"L02BX02 ·デガレリックス 内分泌療法
デガレリックス·デガレリックス·フィルマゴン"
NP	"L03AA02 ·フィルグラスチム 免疫刺激剤
アコフィル・フィルグラスチム・グラストフィル・ニューポジェン・ニベスティム・ラティオグラスチム・テバグラスチム・ザルジオ・ゼフィルティ"
NP	"L03AA03 ·モルグラモスチム 免疫刺激剤
モルグラモスチム"
NP	"L03AA10・レノグラスチム 免疫刺激剤
レノグラスチム"
NP	"L03AA13 ·ペグフィルグラスチム 免疫刺激剤
セグフィラ·ディルペグ·フルフィラ·グラスステック· ニューラスタ·ニューヴェプリア·ペグフィルグラスチム·ペルグラーツ·ペルメグ·スティムフェンド·ヴィブリペグ·ジエクステンツォ"
PNP	"L03AB01 ·インターフェロンアルファ天然 免疫刺激剤
ナチュリグ インターフェロンアルファ"
PNP	"L03AB03・インターフェロンガンマ 免疫刺激剤
イムキン・インターフェロンガンマ"
PNP	"L03AB04 ·インターフェロン アルファ-2a 免疫刺激剤
インターフェロンアルファ-2a"
PNP	"L03AB07インターフェロンベータ-1a 免疫刺激剤
アボネックス・インターフェロンベータ-1a・レビフ"
PNP	"L03AB08インターフェロンベータ-1b 免疫刺激剤
ベタフェロン・エクスタビア・インターフェロンベータ-1b"
PNP	"L03AB11 ·ペギンインターフェロン アルファ-2a 免疫刺激剤
ペガシス・ペグインターフェロンアルファ-2a"
PNP	"L03AX14 ·ヒスタミン二塩酸塩 免疫刺激剤
セプレン・ヒスタミンジヒドロクロリド"
PNP	"L03AX15・ミファムルチド 免疫刺激剤
メパクト・ミファムルティド"
PNP	"L03AX16 ·プレリキサフォル 免疫刺激剤
モゾビル·プレリクサフォル·プレリクサフォル"
PNP	"L04AA04 ·抗胸腺細胞免疫グロブリン（ウサギ） 免疫抑制剤
抗チモサイト免疫グロブリン（カニン）・グラファロン・チモグロブリン"
PNP	"L04AA06・ミコフェノール酸 免疫抑制剤
Cellcept · Marelim · Myastad · Myclausen · Mycofenolsýra · Mycofit · Mycophenolate · Mycophenolatemofetil · Mycophenolatmofetil · Mycophenolsyre · Myfenax · Myfortic · Mykofenolan Mofetylu · Mykofenolat · Mykofenolatmofetil · Mykofenolsyre"
PNP	"L04AA24 ·アバタセプト 免疫抑制剤
アバタセプト・オレンシア"
PNP	"L04AA28 ·ベラタセプト 免疫抑制剤
ベラタセプト・ヌロジックス"
PNP	"L04AB01・エタネルセプト 免疫抑制剤
ベネパリ、エンブレル、エレルジ、エタネルセプト、フベルフ、ネペクスト"
PNP	"L04AB02 ·インフリキシマブ 免疫抑制剤
フリクサビ·インフレクトラ·インフリクシマブ·レミケード·レムシマ·ゼスリー"
PNP	"L04AB04 ·アダリムマブ 免疫抑制剤
アダリムマブ、アンゲヴィータ、アムスパリティ、ヘフィーヤ、フキンドラ、フリオ、ヒュミラ、ヒリモズ、イダシオ、イムラルディ、リブミリス、ユフリマ"
PNP	"L04AB05 ·セルトリズマブ ペゴル 免疫抑制剤
セルトリズマブ ペゴル・シムジア"
PNP	"L04AB06 ·ゴリムマブ 免疫抑制剤
ゴビバス・ゴリムマブ・ゴテンフィア・シンポニ"
PNP	"L04AC01 ·ダクリズマブ 免疫抑制剤
ダクリズマブ"
PNP	"L04AC02・バシリキシマブ 免疫抑制剤
バジリキシマブ・シムレクト"
PNP	"L04AC03 ·アナキンラ 免疫抑制剤
アナキンラ・キネレット"
PNP	"L04AC05 ·ウステキヌマブ 免疫抑制剤
アブシムキ、エクスンビ、フィムスキナ、イムルドサ、オトゥルフィ、ピシヴァ、コ​​イヴォルマ、ステラーラ、ステケイマ、ウスゲナ、ウスレンティ、ウステキヌマブ、ウシムロ、ウズプルボ、ウェゼンラ、イェインテク"
PNP	"L04AC07 ·トシリズマブ 免疫抑制剤
Avtozma · Roactemra · Tocilizumab · Tofidence · Tuyory · Tyenne"
PNP	"L04AC08 ·カナキヌマブ 免疫抑制剤
イラリス・カナキヌマブ"
PNP	"L04AC11 ·シルツキシマブ 免疫抑制剤
シルツキシマブ・シルバント"
PNP	"L04AD01 ·シクロスポリン 免疫抑制剤
シクロスポリン·シコリン·キクレイド·イクオラル·メネルリ·サンディムン·サンディムン ネオラル·ベビジー"
PNP	"L04AD02 ·タクロリムス 免疫抑制剤
アドポート·アドバグラフ·ダイリポート·エンバルサス·モディグラフ·プログラフ·ロルティサ·タクフォリウス·タクニ·タクロリムス·タクロリムス"
PNP	"L04AE01 ·フィンゴリモド 免疫抑制剤
アレレプタン·ボナクソン·チャンティコ·エフィガロ·フィモディゴ ·フィンゴッド·フィンゴリモド·フィンリナ·ガクセニム·ギレニア·ギリコラ·ゴルピメック"
PNP	"L04AG01・ムロモナブ-cd3 免疫抑制剤
ムロモナブ-CD3"
